sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
194.872,37.875,-19.32,0.0,230.685,172.159,-61.966,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-8.68,-19.32,-19.32,71.3,1.4,1.4,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
166.136,31.825,-18.13,0.0,233.403,172.131,-64.711,3.384,16.92,13.536,0.2,16.92,0.0,16.92,-8.51,-18.13,-18.13,68.9,1.3,1.3,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
134.232,31.785,-12.74,0.0,247.76,180.046,-71.31,61.086,305.432,244.346,0.2,305.432,0.0,305.432,-5.98,-12.74,-12.74,70.6,1.3,1.3,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
95.212,19.822,-8.99,0.0,264.902,186.72,-81.912,177.074,885.368,708.294,0.2,885.368,0.0,885.368,-5.82,-8.99,-8.99,76.4,1.1,1.1,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
34.271,-4.815,-5.14,0.0,280.615,192.998,-91.473,232.001,1160.007,928.005,0.2,1160.007,0.0,1160.007,-3.41,-5.14,-5.14,66.0,0.7,0.7,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
12.401,-8.341,-3.41,0.0,291.377,205.001,-90.471,240.605,1203.025,962.42,0.2,1203.025,0.0,1203.025,-0.63,-3.41,-3.41,65.1,0.5,0.5,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
8.78,-6.973,-3.05,0.0,295.174,209.528,-89.831,249.209,1246.044,996.835,0.2,1246.044,0.0,1246.044,-0.61,-3.05,-3.05,61.7,0.5,0.5,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
9.106,-7.321,-2.96,0.0,296.011,210.799,-89.423,257.813,1289.063,1031.25,0.2,1289.063,0.0,1289.063,-0.47,-2.96,-2.96,66.3,0.5,0.5,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
13.953,-10.456,-3.45,0.0,294.819,210.059,-88.957,266.416,1332.081,1065.665,0.2,1332.081,0.0,1332.081,0.0,-3.45,-3.45,55.0,0.6,0.6,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
6.308,-3.165,-5.91,0.0,287.381,210.572,-81.015,272.863,1364.317,1091.454,0.2,1375.1,0.0,1375.1,0.32,-5.91,-5.91,57.1,0.2,0.2,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
1.207,0.063,-9.81,0.0,273.263,205.321,-72.043,196.43,982.152,785.722,0.2,982.152,0.0,982.152,-2.65,-9.81,-9.81,69.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
4.435,1.195,-13.54,0.0,257.935,199.815,-62.112,76.557,382.784,306.227,0.2,382.784,0.0,382.784,-3.7,-13.54,-13.54,76.8,0.5,0.5,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
9.559,3.145,-13.85,0.0,251.673,195.741,-59.842,12.782,63.912,51.13,0.2,63.912,0.0,63.912,-4.93,-13.85,-13.85,80.9,0.6,0.6,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
17.493,5.611,-14.48,0.0,249.701,193.533,-60.034,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-4.96,-14.48,-14.48,79.7,0.7,0.7,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
38.595,12.363,-14.83,0.0,247.949,191.974,-59.81,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-5.48,-14.83,-14.83,81.2,0.9,0.9,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
