sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
188.902,27.809,-19.32,0.0,230.685,160.555,-73.338,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-11.23,-19.32,-19.32,71.3,1.4,1.4,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
180.367,25.261,-18.13,0.0,233.403,160.509,-76.101,3.384,16.92,13.536,0.2,16.92,0.0,16.92,-11.07,-18.13,-18.13,68.9,1.4,1.4,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
144.136,23.185,-12.74,0.0,247.76,167.952,-83.163,61.086,305.432,244.346,0.2,305.432,0.0,305.432,-8.55,-12.74,-12.74,70.6,1.4,1.4,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
71.662,-8.998,-8.99,0.0,264.902,174.201,-94.181,177.074,885.368,708.294,0.2,885.368,0.0,885.368,-8.4,-8.99,-8.99,76.4,1.2,1.2,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-10.933,-94.57,-5.14,0.0,280.615,180.119,-104.095,232.001,1160.007,928.005,0.2,1160.007,0.0,1160.007,-6.0,-5.14,-5.14,66.0,0.8,0.8,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-7.491,-71.794,-3.41,0.0,291.377,191.462,-103.74,240.605,1203.025,962.42,0.2,1203.025,0.0,1203.025,-3.23,-3.41,-3.41,65.1,0.5,0.5,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-0.696,-76.013,-3.05,0.0,295.174,195.715,-103.369,249.209,1246.044,996.835,0.2,1246.044,0.0,1246.044,-3.22,-3.05,-3.05,61.7,0.5,0.5,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-2.855,-69.936,-2.96,0.0,296.011,196.857,-103.087,257.813,1289.063,1031.25,0.2,1289.063,0.0,1289.063,-3.09,-2.96,-2.96,66.3,0.5,0.5,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
8.692,-72.726,-3.45,0.0,294.819,196.14,-102.598,266.416,1332.081,1065.665,0.2,1332.081,0.0,1332.081,-2.63,-3.45,-3.45,55.0,0.6,0.6,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
8.163,-17.136,-5.91,0.0,287.381,196.647,-94.662,272.863,1364.317,1091.454,0.2,1375.1,0.0,1375.1,-2.32,-5.91,-5.91,57.1,0.2,0.2,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
