ground_temperature,air_temperature,surface_temperature(mod),bottom_temperature
-19.32,-8.68,-19.32,-19.32
-18.13,-8.51,-18.13,-18.13
-12.74,-5.98,-12.74,-12.74
-8.99,-5.82,-8.99,-8.99
-5.14,-3.41,-5.14,-5.14
-3.41,-0.63,-3.41,-3.41
-3.05,-0.61,-3.05,-3.05
-2.96,-0.47,-2.96,-2.96
-3.45,0.0,-3.45,-3.45
-5.91,0.32,-5.91,-5.91
-9.81,-2.65,-9.81,-9.81
-13.54,-3.7,-13.54,-13.54
-13.85,-4.93,-13.85,-13.85
-14.48,-4.96,-14.48,-14.48
-14.83,-5.48,-14.83,-14.83
-15.32,-7.73,-15.32,-15.32
-15.03,-9.0,-15.03,-15.03
-16.36,-9.72,-16.36,-16.36
-16.71,-10.95,-16.71,-16.71
-17.41,-12.13,-17.41,-17.41
-16.98,-12.86,-16.98,-16.98
-16.17,-13.04,-16.17,-16.17
-16.95,-10.24,-16.95,-16.95
-16.22,-10.48,-16.22,-16.22
-16.96,-10.56,-16.96,-16.96
-16.61,-7.37,-16.61,-16.61
-12.25,-10.65,-12.25,-12.25
-8.61,-10.06,-8.61,-8.61
-6.09,-7.87,-6.09,-6.09
-5.61,-4.07,-5.61,-5.61
-3.6,-3.17,-3.6,-3.6
-4.44,-3.42,-4.44,-4.44
-5.14,-2.29,-5.14,-5.14
-7.35,-2.56,-7.35,-7.35
-10.24,-5.58,-10.24,-10.24
-12.88,-6.34,-12.88,-12.88
-13.25,-7.67,-13.25,-13.25
-13.96,-7.86,-13.96,-13.96
-13.16,-7.55,-13.16,-13.16
-12.3,-9.21,-12.3,-12.3
-12.44,-9.09,-12.44,-12.44
-12.0,-9.47,-12.0,-12.0
-13.14,-10.0,-13.14,-13.14
-12.95,-9.52,-13.467,-12.95
-13.39,-10.32,-14.183,-13.39
-12.66,-9.4,-12.51,-12.66
-12.86,-11.16,-13.738,-12.86
-12.66,-11.05,-13.196,-12.66
-12.68,-10.71,-17.519,-12.68
-11.73,-10.37,-19.442,-11.73
-10.02,-5.57,-9.525,-10.02
-7.86,-6.2,-6.911,-7.86
-5.06,-5.67,-7.608,-5.06
-1.93,-2.68,0.0,-1.93
-3.71,-2.56,-1.841,-3.71
-3.08,-4.65,-3.835,-3.08
-4.45,-4.81,-4.124,-4.45
-1.588,-4.12,0.0,-1.588
-8.769,-5.91,-7.545,-8.769
-11.98,-6.8,-22.729,-11.98
-13.02,-7.32,-29.354,-13.02
-12.37,-7.85,-30.865,-12.37
-13.19,-8.47,-31.042,-13.19
-12.09,-10.18,-32.293,-12.09
-12.29,-11.01,-32.304,-12.29
-12.19,-11.5,-32.975,-12.19
-12.74,-11.82,-32.05,-12.74
-13.12,-11.48,-27.523,-13.12
-12.55,-11.57,-23.621,-12.55
-14.07,-11.77,-20.514,-14.07
-13.44,-11.97,-21.73,-13.44
-14.43,-12.59,-18.119,-14.43
-14.53,-12.62,-16.939,-14.53
-14.03,-12.08,-16.261,-14.03
-11.53,-6.52,-11.442,-11.53
-8.837,-5.0,-1.976,-8.837
-6.873,-3.83,-4.268,-6.873
-4.682,-1.0,-1.902,-4.682
-4.088,-0.93,-1.379,-4.088
-3.921,-0.64,-1.41,-3.921
-5.6,0.14,-1.029,-5.6
-8.511,0.11,-6.582,-8.511
-10.91,-2.86,-3.157,-10.91
-24.484,-3.77,-25.548,-24.484
-14.77,-5.14,-25.477,-14.77
-15.6,-5.25,-25.255,-15.6
-15.78,-6.13,-24.302,-15.78
-16.39,-7.03,-25.515,-16.39
-15.77,-7.11,-24.04,-15.77
-16.5,-8.41,-24.771,-16.5
-15.94,-9.31,-26.03,-15.94
-15.43,-10.05,-26.972,-15.43
-16.04,-11.09,-28.169,-16.04
-15.63,-11.93,-26.881,-15.63
-15.87,-10.67,-31.342,-15.87
-15.66,-10.52,-26.191,-15.66
-16.28,-10.58,-22.871,-16.28
-16.23,-8.41,-20.665,-16.23
-11.75,-6.55,-14.047,-11.75
-8.69,-5.1,-6.088,-8.69
-7.128,-2.8,-4.262,-7.128
-4.951,-0.32,-1.049,-4.951
-4.271,-0.92,-1.258,-4.271
-1.591,1.16,0.0,-1.591
-4.718,-2.87,-3.083,-4.718
-6.024,-3.01,-2.767,-6.024
-7.97,-5.75,-9.054,-7.97
-13.09,-6.55,-20.031,-13.09
-12.54,-9.01,-28.914,-12.54
-13.07,-7.93,-29.244,-13.07
-12.14,-9.07,-30.543,-12.14
-12.51,-10.27,-30.821,-12.51
-13.17,-10.79,-29.988,-13.17
-13.16,-11.34,-26.023,-13.16
-12.91,-11.05,-22.02,-12.91
-13.2,-11.02,-20.935,-13.2
-14.01,-11.43,-21.32,-14.01
-13.28,-11.01,-17.513,-13.28
-12.74,-10.72,-15.216,-12.74
-14.43,-10.36,-14.995,-14.43
-15.2,-11.07,-15.358,-15.2
-13.95,-11.25,-16.774,-13.95
-12.67,-8.62,-12.001,-12.67
-9.17,-8.37,-8.614,-9.17
-5.98,-7.17,-7.297,-5.98
-4.811,-3.61,-4.098,-4.811
-3.329,-2.74,-3.262,-3.329
-4.785,-2.15,-2.79,-4.785
-5.061,-0.98,-2.096,-5.061
-9.036,-0.92,-2.286,-9.036
-10.11,-3.56,-7.753,-10.11
-14.3,-4.89,-17.936,-14.3
-15.08,-8.06,-24.666,-15.08
-15.37,-9.1,-25.377,-15.37
-16.46,-10.1,-23.936,-16.46
-16.76,-11.48,-22.46,-16.76
-17.45,-9.59,-20.745,-17.45
-18.22,-10.07,-20.96,-18.22
-18.23,-10.31,-19.418,-18.23
-18.22,-11.8,-18.743,-18.22
-18.28,-13.09,-18.675,-18.28
-19.02,-12.48,-17.548,-19.02
-18.84,-12.65,-20.502,-18.84
-19.1,-13.71,-22.304,-19.1
-18.88,-14.03,-23.062,-18.88
-19.57,-14.18,-21.608,-19.57
-15.21,-12.12,-15.923,-15.21
-12.2,-8.99,-8.989,-12.2
-9.12,-6.5,-7.617,-9.12
-6.44,-2.42,-3.775,-6.44
-6.022,-0.62,-2.507,-6.022
-6.29,-0.01,-2.249,-6.29
-7.806,2.0,-1.161,-7.806
-8.98,1.49,-10.4,-8.98
-12.56,-1.87,-7.328,-12.56
-16.83,-5.06,-15.431,-16.83
-17.09,-7.24,-20.32,-17.09
-17.93,-7.35,-19.213,-17.93
-18.37,-8.46,-17.252,-18.37
