sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
188.902,27.809,-19.32,0.0,230.685,160.555,-73.338,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-11.23,-19.32,-19.32,71.3,1.4,1.4,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
113.556,11.336,-8.99,0.0,248.688,167.554,-84.482,80.515,402.573,322.059,0.2,402.573,0.0,402.573,-8.4,-8.99,-8.99,76.4,1.1,1.1,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-6.247,-71.614,-3.05,0.0,289.055,189.099,-103.734,240.605,1203.025,962.42,0.2,1203.025,0.0,1203.025,-3.22,-3.05,-3.05,61.7,0.5,0.5,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
4.667,-53.266,-5.91,0.0,292.737,196.548,-100.116,265.697,1328.487,1062.79,0.2,1332.081,0.0,1332.081,-2.32,-5.91,-5.91,57.1,0.2,0.2,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
5.997,1.027,-13.85,0.0,260.957,186.665,-78.021,95.257,476.283,381.026,0.2,476.283,0.0,476.283,-7.6,-13.85,-13.85,80.9,0.6,0.6,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
42.238,9.497,-15.32,0.0,247.975,176.65,-74.854,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-10.43,-15.32,-15.32,81.5,1.0,1.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
98.857,13.292,-16.71,0.0,243.533,159.842,-86.885,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-13.68,-16.71,-16.71,85.5,1.3,1.3,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
89.164,-10.703,-16.17,0.0,239.534,146.618,-95.846,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-15.8,-16.17,-16.17,77.9,1.6,1.6,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
145.362,3.869,-16.96,0.0,240.692,152.656,-91.086,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-13.35,-16.96,-16.96,78.4,1.7,1.7,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
108.792,-0.613,-8.61,0.0,253.357,163.388,-93.233,81.231,405.648,324.417,0.208,405.648,0.0,405.648,-9.03,-8.61,-8.61,76.6,1.2,1.2,321.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,-0.008,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-41.226,-83.214,-3.6,0.0,286.389,185.581,-104.516,251.008,1204.696,953.688,0.208,1204.696,0.0,1204.696,-3.74,-3.6,-3.6,66.6,0.4,0.4,272.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,-0.058,-0.033,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-7.621,-53.885,0.0,0.0,291.733,198.706,-96.996,268.86,1288.984,1020.124,0.217,1288.984,0.0,1288.984,-3.33,0.0,0.0,75.6,0.0,0.0,195.0,0.285,0.0,-2.235,0.0,0.0,0.0,0.0,0.0,0.0,0.873,0.0,-0.072,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
22.01,5.411,-13.25,0.0,260.981,187.117,-77.602,105.562,478.4,372.838,0.2,478.4,0.0,478.4,-7.71,-13.25,-13.25,84.8,0.8,0.8,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
84.09,20.742,-12.3,0.0,253.673,178.553,-78.687,0.0,0.0,0.0,0.208,0.0,0.0,0.0,-9.23,-12.3,-12.3,81.4,1.1,1.1,329.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.003,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
66.907,3.163,-13.14,0.0,256.806,170.995,-89.227,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-10.17,-13.14,-13.14,81.4,1.0,1.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
67.556,5.739,-12.66,0.0,254.095,168.488,-88.972,0.0,0.0,0.0,0.208,0.0,0.0,0.0,-9.91,-12.66,-12.66,80.4,1.1,1.1,324.0,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.004,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
59.142,-9.722,-12.68,0.0,255.438,163.832,-94.879,0.0,0.0,0.0,0.208,0.0,0.0,0.0,-11.41,-12.68,-12.68,81.8,1.4,1.4,321.0,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.002,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
41.723,-17.965,-7.86,0.0,267.406,173.676,-97.199,71.439,324.709,253.271,0.217,324.709,0.0,324.709,-7.41,-7.86,-7.86,80.4,1.3,1.3,320.0,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.193,-0.109,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-32.723,-91.083,-3.71,0.0,287.962,189.511,-102.237,264.192,1320.959,1056.767,0.2,1384.755,0.0,1384.755,-4.02,-3.71,-3.71,72.4,0.2,0.2,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-44.771,-96.18,-5.97,0.0,294.123,193.65,-104.341,374.377,1363.389,989.012,0.282,1384.029,0.0,1384.029,-4.12,-5.97,-5.97,67.0,0.1,0.1,141.0,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,-0.162,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
5.43,0.415,-13.02,0.0,265.56,186.073,-83.204,113.543,492.576,379.033,0.205,492.576,0.0,492.576,-7.32,-13.02,-13.02,84.6,0.5,0.5,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
18.162,3.676,-12.09,0.0,255.843,177.543,-81.847,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-10.18,-12.09,-12.09,83.4,0.8,0.8,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
31.301,-13.961,-12.74,0.0,257.184,163.725,-96.729,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-11.82,-12.74,-12.74,80.6,1.0,1.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
68.567,-19.43,-14.07,0.0,254.222,161.246,-96.197,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-11.77,-14.07,-14.07,77.8,1.4,1.4,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
104.497,-14.43,-14.53,0.0,250.352,158.29,-95.224,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-12.62,-14.53,-14.53,76.0,1.8,1.8,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
123.598,-35.869,-8.86,0.0,257.83,165.301,-95.831,76.764,383.821,307.057,0.2,383.821,0.0,383.821,-7.52,-8.86,-8.86,71.9,1.6,1.6,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
24.391,-63.354,-4.27,0.0,283.675,184.77,-102.597,214.576,1072.88,858.304,0.2,1072.88,0.0,1072.88,-3.48,-4.27,-4.27,52.1,0.4,0.4,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
10.58,-19.027,-6.79,0.0,286.759,194.451,-96.192,194.224,971.12,776.896,0.2,971.12,0.0,971.12,-2.47,-6.79,-6.79,59.4,0.4,0.4,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
7.569,1.082,-14.77,0.0,257.514,184.653,-76.549,95.982,479.912,383.93,0.2,479.912,0.0,479.912,-7.75,-14.77,-14.77,74.1,0.7,0.7,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
59.894,11.816,-16.39,0.0,244.054,174.33,-73.206,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-9.67,-16.39,-16.39,75.4,1.0,1.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
89.937,12.246,-15.94,0.0,242.517,164.388,-81.413,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-11.98,-15.94,-15.94,74.9,1.1,1.1,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
70.662,-9.351,-15.63,0.0,243.983,152.145,-94.877,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-14.63,-15.63,-15.63,74.4,1.2,1.2,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
76.289,-8.99,-16.28,0.0,243.541,151.682,-94.889,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-13.31,-16.28,-16.28,71.3,1.3,1.3,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
95.393,-12.759,-8.69,0.0,254.033,163.975,-93.333,79.779,398.893,319.115,0.2,398.893,0.0,398.893,-7.86,-8.69,-8.69,70.5,1.1,1.1,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
8.088,-21.534,-4.25,0.0,285.987,186.451,-103.261,246.986,1185.44,938.454,0.208,1185.44,0.0,1185.44,-3.71,-4.25,-4.25,61.8,0.2,0.2,69.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,-0.02,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
3.885,-44.515,-5.75,0.0,289.826,195.374,-98.355,247.994,1239.968,991.974,0.2,1239.968,0.0,1239.968,-3.52,-5.75,-5.75,71.0,0.5,0.5,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
34.811,5.463,-12.54,0.0,265.206,188.766,-80.211,94.92,474.6,379.68,0.2,474.6,0.0,474.6,-8.41,-12.54,-12.54,92.7,0.8,0.8,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
39.975,11.036,-12.51,0.0,256.194,178.588,-81.173,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-9.65,-12.51,-12.51,87.4,0.9,0.9,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
76.971,11.625,-12.91,0.0,254.544,169.083,-88.839,0.0,0.0,0.0,0.208,0.0,0.0,0.0,-10.55,-12.52,-12.91,85.2,1.3,1.3,325.0,0.24,2.146,0.003,0.0,2.146,2.146,0.795,0.0,0.0,0.0,0.001,0.0,-1.0,2.146,0.1,2.146,6.0,2.146,6.0,2.146,6.0
