sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
52.56,36.324,-0.15,0.0,308.673,280.573,-33.705,0.0,0.0,0.0,0.2,0.0,0.0,0.0,10.29,-0.15,-0.15,78.1,0.9,0.9,7.0,0.0,0.0,39900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
132.91,106.878,-0.15,0.0,308.673,276.874,-37.33,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.48,-0.15,-0.15,90.2,1.1,1.1,115.0,0.0,0.0,31200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
69.391,63.854,-0.15,0.0,308.673,271.952,-42.154,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7.99,-0.15,-0.15,90.3,1.2,1.2,159.0,0.0,0.0,24700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
1193.34,615.391,-0.15,0.0,308.673,272.086,-42.022,1.25,6.25,5.0,0.2,6.25,0.0,6.25,9.98,-0.15,-0.15,67.6,4.9,4.9,303.0,0.0,0.0,22600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
922.365,474.64,-0.15,0.0,308.673,282.942,-31.383,145.011,725.056,580.045,0.2,437.5,704.126,135.165,14.2,-0.15,-0.15,65.8,3.4,3.4,153.0,0.0,0.0,20500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
3138.974,2307.84,-0.15,0.0,308.673,298.908,-15.736,273.22,1366.1,1092.88,0.2,845.625,2091.541,124.307,14.63,-0.15,-0.15,75.9,6.3,6.3,145.0,0.0,0.0,24300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
3875.927,3249.568,-0.15,0.0,308.673,302.785,-11.936,265.909,1329.544,1063.636,0.2,813.917,1585.261,119.646,14.12,-0.15,-0.15,77.4,5.1,5.1,152.0,0.0,0.0,20700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
1348.193,1304.295,-0.15,0.0,308.673,323.842,8.699,49.349,246.744,197.395,0.2,164.375,204.272,42.472,10.54,-0.15,-0.15,95.3,1.7,1.7,161.0,0.0,0.0,18400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
295.479,346.246,-0.15,0.0,308.673,289.449,-25.006,0.0,0.0,0.0,0.2,0.0,0.0,0.0,10.06,-0.15,-0.15,99.1,1.8,1.8,139.0,0.0,0.0,12100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
289.918,342.259,-0.15,0.0,307.171,287.361,-25.551,0.0,0.0,0.0,0.2,0.0,0.0,0.0,9.41,-0.15,-0.15,99.6,1.5,1.5,103.0,0.0,0.0,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
181.779,201.921,-0.15,0.0,308.673,279.961,-34.305,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.4,-0.15,-0.15,94.7,1.0,1.0,0.0,0.0,0.0,31400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
203.698,170.385,-0.15,0.0,308.673,276.724,-37.477,1.375,6.875,5.5,0.2,6.875,0.0,6.875,9.0,-0.15,-0.15,84.6,1.3,1.3,110.0,0.0,0.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
922.724,742.512,-0.15,0.0,308.673,285.557,-28.82,137.427,687.137,549.709,0.2,422.458,595.721,171.356,12.85,-0.15,-0.15,78.2,5.1,5.1,150.0,0.0,0.0,48400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
4161.733,3575.378,-0.15,0.0,308.673,297.795,-16.827,273.22,1366.1,1092.88,0.2,1097.042,2730.908,161.265,14.27,-0.15,-0.15,76.8,6.9,6.9,148.0,0.0,0.0,56300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
