0
SMET 1.1 ASCII
[HEADER]
station_id       = ceshi
station_name     = ceshi
latitude         = 80.230000
longitude        = 28.300000
altitude         = 1200.0
nodata           = -999
tz               = 8
units_offset     = 0 0 0 0 273.15 0 0 0 0 0 0 0 0 0 0 0 0 0 273.15 273.15 273.15 273.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 273.15 273.15 273.15 273.15 273.15 0 0 0 0 0 0 0 0 0 0 0 0 
units_multiplier = 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.01 1 1 1 1 0.01 0.01 0.001 0.01 0.01 0.01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
slope_angle      = 25
slope_azi        = 0
plot_unit        = - W/m2 W/m2 W/m2 K W/m2 W/m2 W/m2 W/m2 W/m2 W/m2 W/m2 W/m2 - - W/m2 W/m2 W/m2 K K K K - m/s m/s ° kg/m2/h m m m m m m kg/m2 kg/m2 kg/m2 kg/m2/h kg/m2/h kg/m2/h kg/m2 kg/m2 K K K K K - - m - m - m - m - m - 
plot_description = timestamp  sensible_heat  latent_heat  ground_heat  ground_temperature  ground_heat_at_soil_interface  rain_energy outgoing_long_wave_radiation  incoming_long_wave_radiation  net_long_wave_radiation reflected_short_wave_radiation  incoming_short_wave_radiation  net_short_wave_radiation  parametrized_albedo  measured_albedo  incoming_short_wave_on_horizontal  direct_incoming_short_wave  diffuse_incoming_short_wave air_temperature  surface_temperature(mod)  surface_temperature(meas)  bottom_temperature  relative_humidity  wind_velocity  wind_velocity_drift  wind_direction  solid_precipitation_rate  snow_height(mod)  snow_height(meas) hoar_size  24h_wind_drift  24h_height_of_new_snow  3d_sum_of_daily_height_of_new_snow snow_water_equivalent  total_amount_of_water  erosion_mass_loss  rain_rate  virtual_lysimeter  virtual_lysimeter_under_the_soil  sublimation_mass  evaporated_mass temperature@0.25m temperature@0.5m temperature@1m temperature@-0.25m temperature@-0.1m profile_type  stability_class  z_Sdef  deformation_rate_stability_index  z_Sn38  natural_stability_index  z_Sk38  Sk38_skier_stability_index  z_SSI  structural_stability_index  z_S5 stability_index_5 
plot_color       = 0x000000 0x669933 0x66CC99 0xCC6600 0xDE22E2 0xFFCC00 0x6600FF 0x8F6216 0xD99521 0xD9954E 0x7D643A 0xF9CA25 0xF9CA9D 0xCC9966 0x996633 0xF9CA25 0x90ca25 0x90CAB8 0x8324A4 0xFAA6D0 0xFA72B7 0xDE22E2 0x50CBDB 0x297E24 0x297E24 0x64DD78 0x2431A4 0x818181 0x000000 0x9933FF 0x99FFCC 0x006699 0x33CCCC 0x3300FF 0x0000FF 0x99CCCC 0x3333 0x0066CC 0x003366 0xCCFFFF 0xCCCCFF 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 
fields           = timestamp Qs Ql Qg TSG Qg0 Qr OLWR ILWR LWR_net OSWR ISWR Qw pAlbedo mAlbedo ISWR_h ISWR_dir ISWR_diff TA TSS_mod TSS_meas T_bottom RH VW VW_drift DW MS_Snow HS_mod HS_meas hoar_size wind_trans24 HN24 HN72_24 SWE MS_Water MS_Wind MS_Rain MS_SN_Runoff MS_Soil_Runoff MS_Sublimation MS_Evap TS0 TS1 TS2 TS3 TS4 Sclass1 Sclass2 zSd Sd zSn Sn zSs Ss zS4 S4 zS5 S5 
date_created     = 2024-11-27
creator_name     = win
source           = MeteoIO-2.90
"history          = 2024-11-27T02:45:46Z, win@DESKTOP-1R2J9EE, Snowpack-3.60"
keywords_vocabulary = AGU Index Terms
"keywords         = Cryosphere, Mass Balance, Energy Balance, Atmosphere, Land/atmosphere interactions, Climatology"
product_version  = 1.0
[DATA]
2024-01-02T00:00:00  188.902   27.809     -999  -19.320     -999    0.000  230.685  160.555  -73.338    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -11.230  -19.320     -999  -19.320   71.300    1.400    1.400  317.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T01:00:00  180.367   25.261     -999  -18.130 -249.750    0.000  233.403  160.509  -76.101    3.384   16.920   13.536    0.200     -999   16.920    0.000   16.920  -11.070  -18.130     -999  -18.130   68.900    1.400    1.400  322.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T02:00:00  144.136   23.185     -999  -12.740 -249.750    0.000  247.760  167.952  -83.163   61.086  305.432  244.346    0.200     -999  305.432    0.000  305.432   -8.550  -12.740     -999  -12.740   70.600    1.400    1.400  324.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T03:00:00   71.662   -8.998     -999   -8.990 -249.750    0.000  264.902  174.201  -94.181  177.074  885.368  708.294    0.200     -999  885.368    0.000  885.368   -8.400   -8.990     -999   -8.990   76.400    1.200    1.200  324.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T04:00:00  -10.933  -94.570     -999   -5.140 -249.750    0.000  280.615  180.119 -104.095  232.001 1160.007  928.005    0.200     -999 1160.007    0.000 1160.007   -6.000   -5.140     -999   -5.140   66.000    0.800    0.800  303.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T05:00:00   -7.491  -71.794     -999   -3.410 -249.750    0.000  291.377  191.462 -103.740  240.605 1203.025  962.420    0.200     -999 1203.025    0.000 1203.025   -3.230   -3.410     -999   -3.410   65.100    0.500    0.500  251.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T06:00:00   -0.696  -76.013     -999   -3.050 -249.750    0.000  295.174  195.715 -103.369  249.209 1246.044  996.835    0.200     -999 1246.044    0.000 1246.044   -3.220   -3.050     -999   -3.050   61.700    0.500    0.500  211.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T07:00:00   -2.855  -69.936     -999   -2.960 -249.750    0.000  296.011  196.857 -103.087  257.813 1289.063 1031.250    0.200     -999 1289.063    0.000 1289.063   -3.090   -2.960     -999   -2.960   66.300    0.500    0.500  207.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T08:00:00    8.692  -72.726     -999   -3.450 -249.750    0.000  294.819  196.140 -102.598  266.416 1332.081 1065.665    0.200     -999 1332.081    0.000 1332.081   -2.630   -3.450     -999   -3.450   55.000    0.600    0.600  188.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T09:00:00    8.163  -17.136     -999   -5.910 -249.750    0.000  287.381  196.647  -94.662  272.863 1364.317 1091.454    0.200     -999 1375.100    0.000 1375.100   -2.320   -5.910     -999   -5.910   57.100    0.200    0.200  177.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T10:00:00    3.364   -0.680     -999   -9.810 -249.750    0.000  273.263  191.517  -85.571  196.430  982.152  785.722    0.200     -999  982.152    0.000  982.152   -5.300   -9.810     -999   -9.810   69.200    0.400    0.400    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T11:00:00   11.223    1.702     -999  -13.540 -249.750    0.000  257.935  186.203  -75.451   76.557  382.784  306.227    0.200     -999  382.784    0.000  382.784   -6.360  -13.540     -999  -13.540   76.800    0.600    0.600  340.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T12:00:00   19.309    4.812     -999  -13.850 -249.750    0.000  251.673  182.275  -73.040   12.782   63.912   51.130    0.200     -999   63.912    0.000   63.912   -7.600  -13.850     -999  -13.850   80.900    0.700    0.700  330.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T13:00:00   31.568    7.705     -999  -14.480 -249.750    0.000  249.701  180.135  -73.164    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000   -7.640  -14.480     -999  -14.480   79.700    0.800    0.800  329.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T14:00:00   59.020   14.642     -999  -14.830 -249.750    0.000  247.949  178.612  -72.905    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000   -8.170  -14.830     -999  -14.830   81.200    1.000    1.000  331.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T15:00:00  102.095   20.792     -999  -15.320 -249.750    0.000  246.275  171.204  -78.491    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -10.430  -15.320     -999  -15.320   81.500    1.200    1.200  329.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T16:00:00  118.093   19.139     -999  -15.030 -249.750    0.000  246.265  163.941  -85.599    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -11.710  -15.030     -999  -15.030   83.100    1.300    1.300  326.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
